"BehaviorSpace results (NetLogo 7.0.3)","Table version 2.0"
"Granovetter's_threshold_model_of_collective_behaviour.nlogo"
"diversity-effect"
"05/25/2026 20:16:35:455 +0900"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","network","threshold-distribution","number-of-agents","mean-threshold","sd-threshold","[step]","final-proportion","ticks"
"279","fully connected","normal","100","25","14","2","4","2"
"281","fully connected","normal","100","25","15","0","0","0"
"280","fully connected","normal","100","25","14","1","3","1"
"279","fully connected","normal","100","25","14","3","5","3"
"281","fully connected","normal","100","25","15","1","3","1"
"279","fully connected","normal","100","25","14","4","6","4"
"281","fully connected","normal","100","25","15","2","8","2"
"280","fully connected","normal","100","25","14","2","4","2"
"281","fully connected","normal","100","25","15","3","21","3"
"281","fully connected","normal","100","25","15","4","82","4"
"282","fully connected","normal","100","25","15","0","0","0"
"281","fully connected","normal","100","25","15","5","100","5"
"282","fully connected","normal","100","25","15","1","17","1"
"282","fully connected","normal","100","25","15","2","75","2"
"283","fully connected","normal","100","25","15","0","0","0"
"283","fully connected","normal","100","25","15","1","7","1"
"282","fully connected","normal","100","25","15","3","100","3"
"283","fully connected","normal","100","25","15","2","22","2"
"283","fully connected","normal","100","25","15","3","71","3"
"283","fully connected","normal","100","25","15","4","100","4"
"284","fully connected","normal","100","25","15","0","0","0"
"284","fully connected","normal","100","25","15","1","9","1"
"284","fully connected","normal","100","25","15","2","48","2"
"285","fully connected","normal","100","25","15","0","0","0"
"284","fully connected","normal","100","25","15","3","100","3"
"285","fully connected","normal","100","25","15","1","9","1"
"285","fully connected","normal","100","25","15","2","21","2"
"250","fully connected","normal","100","25","13","1","7","1"
"288","fully connected","normal","100","25","15","0","0","0"
"286","fully connected","normal","100","25","15","0","0","0"
"285","fully connected","normal","100","25","15","3","78","3"
"288","fully connected","normal","100","25","15","1","10","1"
"286","fully connected","normal","100","25","15","1","6","1"
"287","fully connected","normal","100","25","15","0","0","0"
"286","fully connected","normal","100","25","15","2","10","2"
"285","fully connected","normal","100","25","15","4","100","4"
