"BehaviorSpace results (NetLogo 7.0.3)","Stats version 2.0"
"Granovetter's_threshold_model_of_collective_behaviour.nlogo"
"diversity-effect"
"05/25/2026 20:16:38:741 +0900"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"network","threshold-distribution","number-of-agents","mean-threshold","sd-threshold","[step]","(mean) final-proportion","(std) final-proportion","(mean) ticks","(std) ticks"
"fully connected","normal","100","25","46","4","91.83333333333333","4.8790937227681495","4","0"
"fully connected","normal","100","25","46","5","91.16666666666667","3.1841621957571333","5","0"
"fully connected","normal","100","25","47","0","0","0","0","0"
"fully connected","normal","100","25","47","1","47.05","6.8664037166481835","1","0"
"fully connected","normal","100","25","47","2","76.1","6.999285677838847","2","0"
"fully connected","normal","100","25","47","3","87.9","4.6141087980237305","3","0"
"fully connected","normal","100","25","47","4","90.11111111111111","3.6649827783268094","4","0"
"fully connected","normal","100","25","47","5","90.57142857142857","2.718042512920064","5","0"
"fully connected","normal","100","25","47","6","89","N/A","6","N/A"
"fully connected","normal","100","25","47","7","90","N/A","7","N/A"
"fully connected","normal","100","25","47","8","91","N/A","8","N/A"
"fully connected","normal","100","25","48","0","0","0","0","0"
"fully connected","normal","100","25","48","1","46.3","8.468175718535841","1","0"
"fully connected","normal","100","25","48","2","73.9","11.579723658188048","2","0"
"fully connected","normal","100","25","48","3","85.55","9.345988444247082","3","0"
"fully connected","normal","100","25","48","4","88.78947368421052","7.395439187473808","4","0"
"fully connected","normal","100","25","48","5","88.5","6.34428877022476","5","0"
"fully connected","normal","100","25","48","6","90","3.6742346141747673","6","0"
"fully connected","normal","100","25","48","7","89","N/A","7","N/A"
"fully connected","normal","100","25","48","8","91","N/A","8","N/A"
"fully connected","normal","100","25","48","9","92","N/A","9","N/A"
"fully connected","normal","100","25","49","0","0","0","0","0"
"fully connected","normal","100","25","49","1","46.55","7.466424847274632","1","0"
"fully connected","normal","100","25","49","2","76.45","6.200604809210146","2","0"
"fully connected","normal","100","25","49","3","88.55","4.14095399636364","3","0"
"fully connected","normal","100","25","49","4","90.70588235294117","3.374030682282349","4","0"
"fully connected","normal","100","25","49","5","89","2.280350850198276","5","0"
"fully connected","normal","100","25","49","6","91","2.23606797749979","6","0"
"fully connected","normal","100","25","49","7","91","N/A","7","N/A"
"fully connected","normal","100","25","50","0","0","0","0","0"
"fully connected","normal","100","25","50","1","43","7.4565407529228995","1","0"
"fully connected","normal","100","25","50","2","70.6","9.32952303175248","2","0"
"fully connected","normal","100","25","50","3","82.95","7.49983333148144","3","0"
"fully connected","normal","100","25","50","4","86.84210526315789","6.869177211854927","4","0"
"fully connected","normal","100","25","50","5","87.7","6.797793759742936","5","0"
"fully connected","normal","100","25","50","6","88.5","N/A","6","N/A"
"fully connected","normal","100","25","50","7","84","N/A","7","N/A"
"fully connected","normal","100","25","51","0","0","0","0","0"
"fully connected","normal","100","25","51","1","49.2","8.698275691193054","1","0"
"fully connected","normal","100","25","51","2","75.95","7.729650703621736","2","0"
